姓名,城市,科室,职称,主执业医院,出诊医院,专业特长,挂号费,出诊时间,信息来源网址
杜忠东,北京市,小儿心血管内科,主任医师 · 双语,,北京新世纪儿童医院,擅长川崎病及川崎病合并管状动脉瘤、小儿心肌炎及心肌病、小儿心律失常、先天性心脏病、晕厥及小儿心力衰竭等小儿心血管内科疾病的诊治。 毕业于首都医科大学儿科学系，获小儿心血管专业医学博士。于北京儿童医院从事小儿内科临床工作二十余年。 卫生部《中国临床医师》杂志编委会副主任、香港《儿科大查房》副主编、《中华医学杂志》英文版、《中华儿科杂志》、《中国实用儿科杂志》、《中华实用儿科临床杂志》、《中国循证儿科杂志》、《British Medical Journal》中文版等13本杂志编委。《Pediatric Infectious Disease Journal》、《European Journal of,¥900,周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533177605288510
朱晓虹,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于张家口医学院医疗系，获学士学位。  从事儿科临床工作三十余年。  擅长小儿内科门急诊常见疾病的诊断和治疗，在小儿呼吸系统、消化系统疾病有丰富的诊治经验。,¥700-900,周六、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1479791242187708
郭改丽,北京市,小儿内科全科,副主任医师·双语,,北京新世纪儿童医院,硕士学位，毕业于首都医科大学。在北京儿童医院和中国医学科学院阜外医院参加儿科临床工作多年，对于常见儿童过敏性疾病有着丰富的经验。现任中国医师协会儿科学分会委员。 擅长过敏性咳嗽、支气管哮喘、变应性鼻炎、花粉过敏症、食物过敏、婴幼儿反复喘息、慢性咳嗽、反复呼吸道感染等疾病。,¥700-900,周一、周二、周三、周四、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1542273289822202
李蕾,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于首都医科大学儿科系，获得学士学位。  从事儿科临床工作近二十年。  擅长小儿内科全科常见疾病，包括新生儿疾病，呼吸系统疾病，消化系统疾病等的诊断和治疗。,¥700-900,周一、周二、周四、周五、周六 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1479790548318840
尹巧绵,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于河北医科大学临床儿科系、首都医科大学临床儿科系，获硕士学位（呼吸专业）。 擅长呼吸系统，哮喘过敏疾病，及小儿内科全科常见疾病，包括新生儿疾病、消化系统、小儿常见传染病等的诊断和治疗。,¥700-900,周一、周二、周三、周四、周五、周六、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1489041474550571
仇佳晶,北京市,小儿内科全科,资深医师 · 双语,,北京新世纪儿童医院,毕业于首都医科大学儿科学、协和医科大学儿科学，获博士学位。 从事儿科临床工作二十余年。 擅长小儿内科全科疾病，在小儿肾脏和儿童免疫疾病具有丰富的诊治经验。,¥700-900,周一、周三、周四、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1610002167149447
王芳,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于华北煤炭医学院临床专业儿科系，获学士学位。  从事儿科临床工作二十年。  擅长小儿内科全科门急诊常见疾病，包括新生儿疾病，血液系统，呼吸系统，消化系统常见病及多发病的诊断和治疗。,¥700-900,周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1563865487881376
李娜,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于河北医科大学中西医临床专业，获学士学位。  从事儿科临床工作十余年。  擅长小儿内科全科疾病，包括新生儿疾病、呼吸系统、消化系统及其它小儿常见病及多发病的诊断和治疗。,¥700-900,周一、周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1542273463757137
洪亮,北京市,小儿内科全科,资深医师 · 双语,,北京新世纪儿童医院,先后毕业于复旦大学上海医学院和首都医科大学，获硕士学位。 曾就职于三甲医院儿科。从事儿科临床工作十余年。 擅长儿内科门急诊常见疾病、呼吸系统疾病、消化系统疾病的诊断和治疗。,¥700-900,周一、周二、周三、周五、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1722827762421164
王阳,北京市,小儿心血管内科,主任医师 · 双语,,北京新世纪儿童医院,对小儿获得性心脏病具有深入的研究及临床医治经验，擅长川崎病、心律失常、心肌病、心肌心包炎、感染性心内膜炎、风心病等小儿心血管内科疾病的诊治。近15年间，成功医治川崎病患儿近两千余例，川崎病患儿随访万余例。对危重、复杂川崎病如：川崎休克综合征、川崎病合并冠脉瘤、合并血栓、合并重症心肌炎、合并耳聋等各类川崎病并发症具有深入专业研究和成功救治经验，对川崎病的远期随访具有非常丰富的经验。同时在医治心肌炎、心律失常方面见识显著。在北京儿童医院心血管中心工作期间曾参与并成功抢救暴发性心肌炎、严重室性及室上性心动过速、III度房室传导阻滞等危重患儿。 毕业于首都医科大学，获硕士学位。现任北京新世纪儿童医院住,¥900,周二、周三、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479261978897419
